keywords,answer_en,answer_ta,answer_hi,answer_te,answer_kn
"potato pests,potato late blight,potato disease control","Late blight is major: use certified seed, apply recommended fungicides at early signs, and remove infected plants. Maintain field drainage to reduce disease risk.",விலையீட்டுப் பூச்சி (late blight) பெரியது: சான்று விதைகள் மற்றும் நோய் ஆரம்பத்தில் பரிந்துரைக்கப்பட்ட பூச்சி மருந்துகளைப் பயன்படுத்தவும்.,लेट ब्लाइट गंभीर रोग है: प्रमाणित बीज और शुरुआती लक्षणों पर कवकनाशी लगाएँ।,"లేట్ బ్లైట్ ప్రధాన సమస్య: ధృవీకరించబడిన విత్తనాన్ని ఉపయోగించండి, ప్రారంభ సంకేతాల వద్ద సిఫార్సు చేయబడిన శిలీంద్రనాశకాలను వాడండి మరియు సోకిన మొక్కలను తొలగించండి. వ్యాధి ప్రమాదాన్ని తగ్గించడానికి క్షేత్ర పారుదల నిర్వహించండి.","ಲೇಟ್ ಬ್ಲೈಟ್ ಪ್ರಮುಖವಾಗಿದೆ: ಪ್ರಮಾಣೀಕೃತ ಬೀಜವನ್ನು ಬಳಸಿ, ಆರಂಭಿಕ ಚಿಹ್ನೆಗಳಲ್ಲಿ ಶಿಫಾರಸು ಮಾಡಿದ ಶಿಲೀಂಧ್ರನಾಶಕಗಳನ್ನು ಅನ್ವಯಿಸಿ, ಮತ್ತು ಸೋಂಕಿತ ಸಸ್ಯಗಳನ್ನು ತೆಗೆದುಹಾಕಿ. ರೋಗದ ಅಪಾಯವನ್ನು ಕಡಿಮೆ ಮಾಡಲು ಕ್ಷೇತ್ರದ ಒಳಚರಂಡಿಯನ್ನು ಕಾಪಾಡಿಕೊಳ್ಳಿ."
"onion planting,when to plant onion,onion sowing season",Onion prefers cool season with well-drained soils. Use transplants or direct seed depending on variety; ensure adequate nitrogen early and potassium towards bulb formation.,வெள்ளரிக்காய் (இஞ்சி) குளிர் பருவத்தில் மற்றும் நல்ல வடிகால் கொண்ட மண்ணை விரும்பும். வகைப் பொருத்தமாக மாற்று விதை அல்லது நேரடி விதை பயன்படுத்தவும்.,प्याज़ ठंडे मौसम में अच्छी होती है; किस्म के अनुसार प्रत्यारोपण या सीधा बुवाई करें। नाइट्रोजन पहले और पोटाशियम बल्ब बनने के समय दें।,ఉల్లిపాయ చల్లని కాలంలో మంచి నీటి పారుదల గల నేలలను ఇష్టపడుతుంది. రకాన్ని బట్టి మార్చి నాటడం లేదా నేరుగా విత్తడం చేయండి; బల్బ్ ఏర్పడే దశలో తగినంత నైట్రోజన్ ప్రారంభంలో మరియు పొటాషియం ఉండేలా చూసుకోండి.,ಈರುಳ್ಳಿ ಚೆನ್ನಾಗಿ ಬಸಿದು ಹೋಗುವ ಮಣ್ಣುಗಳೊಂದಿಗೆ ತಂಪಾದ ಋತುವನ್ನು ಆದ್ಯತೆ ನೀಡುತ್ತದೆ. ವಿವಿಧತೆಯನ್ನು ಅವಲಂಬಿಸಿ ಕಸಿ ಸಸಿಗಳನ್ನು ಅಥವಾ ನೇರ ಬೀಜವನ್ನು ಬಳಸಿ; ಆರಂಭದಲ್ಲಿ ಸಾಕಷ್ಟು ಸಾರಜನಕ ಮತ್ತು ಗೆಡ್ಡೆ ರಚನೆಯ ಕಡೆಗೆ ಪೊಟ್ಯಾಸಿಯಮ್ ಅನ್ನು ಖಚಿತಪಡಿಸಿಕೊಳ್ಳಿ.
"onion pests,onion thrips,onion disease","Onion thrips and fungal rots cause yield loss. Use tolerant varieties, avoid excessive irrigation, and apply recommended insecticides when threshold crossed.",வெள்ளரிக் கீறுபவர்கள் மற்றும் பூச்சிய நோய்கள் உற்பத்தி குறைவு செய்யும். சகிப்புத் திறன் உடைய வகைகள் உபயோகிக்கவும்.,प्याज़ में थ्रिप्स और फफूंदीय रोग होते हैं। सहनशील किस्में और नियंत्रित सिंचाई अपनाएँ।,"ఉల్లిపాయలో నల్లి పురుగు మరియు శిలీంద్రాల తెగుళ్లు దిగుబడి నష్టానికి కారణమవుతాయి. తట్టుకునే రకాలను ఉపయోగించండి, అధిక నీటిపారుదలని నివారించండి మరియు పరిమితి దాటినప్పుడు సిఫార్సు చేయబడిన పురుగుమందులను ఉపయోగించండి.","ಈರುಳ್ಳಿ ಥ್ರಿಪ್ಸ್ ಮತ್ತು ಶಿಲೀಂಧ್ರ ಕೊಳೆತಗಳು ಇಳುವರಿ ನಷ್ಟಕ್ಕೆ ಕಾರಣವಾಗುತ್ತವೆ. ಸಹಿಷ್ಣು ಪ್ರಭೇದಗಳನ್ನು ಬಳಸಿ, ಅತಿಯಾದ ನೀರಾವರಿಯನ್ನು ತಪ್ಪಿಸಿ, ಮತ್ತು ಮಿತಿ ಮೀರಿದಾಗ ಶಿಫಾರಸು ಮಾಡಿದ ಕೀಟನಾಶಕಗಳನ್ನು ಅನ್ವಯಿಸಿ."
"chilli planting,when to plant chili,chili sowing time",Sow chilli seedlings in warm season; transplant after 6–8 weeks. Ensure nutrient-rich soil and balanced NPK; harvest after color change depending on variety.,மிளகாய் விதைகள் வெப்ப காலத்தில் விதைக்கவும்; 6–8 வாரங்களுக்கு பிறகு மாற்று நட்டு. சமநிலை NPK வழங்கவும்.,मिर्च गर्म मौसम में बोएँ; 6–8 सप्ताह बाद प्रत्यारोपित करें और संतुलित NPK दें।,మిరప మొక్కలను వెచ్చని కాలంలో విత్తండి; 6–8 వారాల తర్వాత మార్చి నాటండి. పోషకాలు సమృద్ధిగా ఉండే మట్టిని మరియు సమతుల్య NPK ఉండేలా చూసుకోండి; రకాన్ని బట్టి రంగు మారిన తర్వాత కోయండి.,ಮೆಣಸಿನಕಾಯಿ ಸಸಿಗಳನ್ನು ಬೆಚ್ಚಗಿನ ಋತುವಿನಲ್ಲಿ ಬಿತ್ತಿ; 6–8 ವಾರಗಳ ನಂತರ ಕಸಿ ಮಾಡಿ. ಪೋಷಕಾಂಶ-ಭರಿತ ಮಣ್ಣು ಮತ್ತು ಸಮತೋಲಿತ NPK ಅನ್ನು ಖಚಿತಪಡಿಸಿಕೊಳ್ಳಿ; ವಿಧವನ್ನು ಅವಲಂಬಿಸಿ ಬಣ್ಣ ಬದಲಾವಣೆಯ ನಂತರ ಕೊಯ್ಲು ಮಾಡಿ.
"chilli pests,chili disease management,chilli viral disease","Chilli suffers from viral, bacterial and thrips problems. Rogue infected plants, use virus-free seedlings, and practice crop rotation and reflective mulches to reduce aphids/thrips.","மிளகாய் வைரஸ், பேக்டீரியா மற்றும் த்ரிப்ஸ் பாதிப்பு கூடும். பாதிக்கப்பட்ட செடிகளை அகற்றி, வைரஸ் இலையியல் விதைகள் பயன்படுத்தவும்.","मिर्च में वायरस, बैक्टीरिया और थ्रिप्स की समस्या होती है। संक्रमित पौधों को हटाएँ और वायरस-रहित पौधे उपयोग करें।","మిరప పంట వైరల్, బాక్టీరియల్ మరియు నల్లి పురుగు సమస్యలతో బాధపడుతుంది. సోకిన మొక్కలను తొలగించండి, వైరస్ లేని మొలకలను ఉపయోగించండి మరియు అఫిడ్స్/నల్లి పురుగులను తగ్గించడానికి పంట మార్పిడి మరియు ప్రతిబింబించే మల్చులను పాటించండి.","ಮೆಣಸಿನಕಾಯಿ ವೈರಲ್, ಬ್ಯಾಕ್ಟೀರಿಯಾ ಮತ್ತು ಥ್ರಿಪ್ಸ್ ಸಮಸ್ಯೆಗಳಿಂದ ಬಳಲುತ್ತದೆ. ಸೋಂಕಿತ ಸಸ್ಯಗಳನ್ನು ಕಿತ್ತುಹಾಕಿ, ವೈರಸ್-ಮುಕ್ತ ಸಸಿಗಳನ್ನು ಬಳಸಿ, ಮತ್ತು ಗಿಡಹೇನುಗಳು/ಥ್ರಿಪ್ಸ್ ಅನ್ನು ಕಡಿಮೆ ಮಾಡಲು ಬೆಳೆ ಸರದಿ ಮತ್ತು ಪ್ರತಿಫಲಿತ ಹೊದಿಕೆಗಳನ್ನು ಅಭ್ಯಾಸ ಮಾಡಿ."
"mango flowering,mango flowering season,when does mango flower",Mango typically flowers in late winter to early spring depending on variety and climate. Manage irrigation and nutrition before flowering to encourage heavy bloom and fruit set.,மாம்பழம் பருவம் மற்றும் வகையைப் பொருத்து குளிர்காலம் முடிவில் அல்லது ஒன்காலத்தில் மலர்கிறது. மலர்ப்புக்கு முன் சாக்பதி மற்றும் நீர் மேலாண்மையை கவனியுங்கள்.,आम आमतौर पर देर सर्दी से बसंत के आरम्भ में खिलता है; फूल आने से पहले सिंचाई और पोषण प्रबंधन आवश्यक है।,మామిడి సాధారణంగా రకం మరియు వాతావరణాన్ని బట్టి చలికాలం చివరలో లేదా వసంతకాలం ప్రారంభంలో పూస్తుంది. భారీగా పూత మరియు పండు కట్టడాన్ని ప్రోత్సహించడానికి పూతకు ముందు నీటిపారుదల మరియు పోషణను నిర్వహించండి.,ಮಾವಿನ ಹೂವು ಸಾಮಾನ್ಯವಾಗಿ ವಿಧ ಮತ್ತು ಹವಾಮಾನವನ್ನು ಅವಲಂಬಿಸಿ ಚಳಿಗಾಲದ ಕೊನೆಯಲ್ಲಿ ಅಥವಾ ವಸಂತಕಾಲದ ಆರಂಭದಲ್ಲಿ ಅರಳುತ್ತದೆ. ಭಾರೀ ಹೂಬಿಡುವಿಕೆ ಮತ್ತು ಕಾಯಿ ಕಟ್ಟುವುದು ಉತ್ತೇಜಿಸಲು ಹೂಬಿಡುವ ಮೊದಲು ನೀರಾವರಿ ಮತ್ತು ಪೋಷಣೆಯನ್ನು ನಿರ್ವಹಿಸಿ.
"mango pests,mango anthracnose,mango fruit fly","Mango fruit fly and anthracnose cause major losses. Use sanitation, fruit bagging where possible, and apply recommended fungicides and baiting for fruit fly control.",மாம்பழ பிளை மற்றும் ஆன்ட்ரக்னோஸ் பிரச்சினைகள் மிக பெரியது. சுத்தம் மற்றும் பழ பைகளைப் பயன்படுத்தவும்.,आम में फलों के कीड़े और एंन्थ्रैकनोस समस्या है। स्वच्छता और बैगिंग से बचाव करें।,"మామిడి పండు ఈగ మరియు ఆంత్రాక్నోస్ ప్రధాన నష్టాన్ని కలిగిస్తాయి. పరిశుభ్రత, సాధ్యమైతే పండ్ల సంచీలు ఉపయోగించండి మరియు పండు ఈగ నియంత్రణకు సిఫార్సు చేయబడిన శిలీంద్రనాశకాలు మరియు ఎరను వాడండి.","ಮಾವು ಕಾಯಿ ನೊಣ ಮತ್ತು ಆಂಥ್ರಾಕ್ನೋಸ್ ಪ್ರಮುಖ ನಷ್ಟವನ್ನು ಉಂಟುಮಾಡುತ್ತವೆ. ಸ್ವಚ್ಛತೆ, ಸಾಧ್ಯವಾದಲ್ಲಿ ಕಾಯಿಗಳನ್ನು ಬ್ಯಾಗಿಂಗ್ ಮಾಡುವುದು ಮತ್ತು ಕಾಯಿ ನೊಣ ನಿಯಂತ್ರಣಕ್ಕಾಗಿ ಶಿಫಾರಸು ಮಾಡಿದ ಶಿಲೀಂಧ್ರನಾಶಕಗಳು ಮತ್ತು ಬೈಟಿಂಗ್ ಅನ್ನು ಅನ್ವಯಿಸಿ."
"banana planting,when to plant banana,banana propagation","Plant banana suckers of appropriate age (12–18 months). Ensure deep fertile soil, regular irrigation and mulching; remove diseased suckers to prevent spread.","வாழைக்கு 12–18 மாத வயதுடைய சக்கரங்களை நடு. ஆழமான, உரமான மண் மற்றும் மழை நீர் தேவையாய் இருக்க வேண்டும்.",केले को 12–18 महीने उम्र के सुकरों से लगाएँ; गहरी उपजाऊ मिट्टी और नियमित सिंचाई अनिवार्य है।,"తగిన వయస్సు (12–18 నెలలు) గల అరటి పిలకలను నాటండి. లోతైన సారవంతమైన మట్టి, క్రమం తప్పకుండా నీటిపారుదల మరియు మల్చింగ్ ఉండేలా చూసుకోండి; వ్యాప్తిని నివారించడానికి వ్యాధిగ్రస్తమైన పిలకలను తొలగించండి.","ಸೂಕ್ತ ವಯಸ್ಸಿನ (12–18 ತಿಂಗಳುಗಳು) ಬಾಳೆ ಸಸಿಗಳನ್ನು ನೆಡಬೇಕು. ಆಳವಾದ ಫಲವತ್ತಾದ ಮಣ್ಣು, ನಿಯಮಿತ ನೀರಾವರಿ ಮತ್ತು ಹೊದಿಕೆಯನ್ನು ಖಚಿತಪಡಿಸಿಕೊಳ್ಳಿ; ಹರಡುವುದನ್ನು ತಡೆಯಲು ರೋಗಗ್ರಸ್ತ ಸಸಿಗಳನ್ನು ತೆಗೆದುಹಾಕಿ."
"banana pests,banana bunchy top,banana nematode","Banana nematodes and bunchy top virus reduce yields. Use clean planting material, nematicides where recommended, and maintain field sanitation.",வாழையில் நெமாட் மற்றும் பச்சை முக நோய் விளைச்சலை குறைக்கும். தூய விதைகள் பயன்படுத்தவும்.,केले में नीमैटोड़ और बन्ची टॉप वायरस नुकसान पहुंचाते हैं। साफ सामग्री और मैदान की सफाई रखें।,"అరటి నెమటోడ్లు మరియు గుబురుగా ఉండే పైభాగం వైరస్ దిగుబడిని తగ్గిస్తాయి. శుభ్రమైన నాటడం పదార్థాన్ని ఉపయోగించండి, సిఫార్సు చేయబడిన చోట నెమాటిసైడ్‌లను వాడండి మరియు క్షేత్ర పరిశుభ్రతను పాటించండి.","ಬಾಳೆ ನೆಮಟೋಡ್‌ಗಳು ಮತ್ತು ಬಂಚಿ ಟಾಪ್ ವೈರಸ್ ಇಳುವರಿಯನ್ನು ಕಡಿಮೆ ಮಾಡುತ್ತದೆ. ಸ್ವಚ್ಛ ನಾಟಿ ಸಾಮಗ್ರಿಯನ್ನು ಬಳಸಿ, ಶಿಫಾರಸು ಮಾಡಿದ ಕಡೆ ನೆಮಟಿಸೈಡ್‌ಗಳನ್ನು ಬಳಸಿ, ಮತ್ತು ಕ್ಷೇತ್ರದ ನೈರ್ಮಲ್ಯವನ್ನು ಕಾಪಾಡಿಕೊಳ್ಳಿ."
"guava care,guava pruning,guava pests",Guava requires light pruning to shape trees and improve air flow; use balanced fertilizers and control fruit flies with timely harvest and sanitation.,"கோவா மரங்களுக்கு இலகு வெட்டுதல், சரியான உரம் வழங்குதல் மற்றும் பழப்பறிப்பு மற்றும் சுத்தம் மூலம் பழ பறவை கட்டுப்பாடு செய்யவும்.",अमरूद को आकार देने के लिए हल्की छंटाई करें; संतुलित उर्वरक दें और फल मक्खी नियंत्रण रखें।,జామ చెట్లను ఆకృతి చేయడానికి మరియు గాలి ప్రసరణను మెరుగుపరచడానికి తేలికపాటి కత్తిరింపు అవసరం; సమతుల్య ఎరువులను ఉపయోగించండి మరియు సరైన సమయంలో కోత మరియు పరిశుభ్రతతో పండు ఈగలను నియంత్రించండి.,ಮರಗಳಿಗೆ ಆಕಾರ ನೀಡಲು ಮತ್ತು ಗಾಳಿಯ ಹರಿವನ್ನು ಸುಧಾರಿಸಲು ಪೇರಲಕ್ಕೆ ಲಘು ಕತ್ತರಿಸುವಿಕೆ ಅಗತ್ಯವಿದೆ; ಸಮತೋಲಿತ ಗೊಬ್ಬರಗಳನ್ನು ಬಳಸಿ ಮತ್ತು ಸಮಯೋಚಿತ ಕೊಯ್ಲು ಮತ್ತು ಸ್ವಚ್ಛತೆಯೊಂದಿಗೆ ಕಾಯಿ ನೊಣಗಳನ್ನು ನಿಯಂತ್ರಿಸಿ.
"papaya planting,papaya care,papaya disease",Papaya prefers well-drained soil and regular watering; use disease-free seedlings and stake young plants. Protect from wind and high rainfall during fruiting.,பப்பாளி நன்கு வடிகால் கொண்ட மண்ணில் வளர்க்கவும்; நோயில்லா விதைகள் மற்றும் சிறிய செடிகளை உறுதிசெய்க.,पपाया को अच्छी जलनिकासी वाली मिट्टी चाहिए; रोगमुक्त पौधे लगाएँ और फल आते समय तेज हवाओं से बचाएँ।,బొప్పాయికి మంచి నీటి పారుదల గల మట్టి మరియు క్రమం తప్పకుండా నీరు పెట్టడం అంటే ఇష్టం; వ్యాధి లేని మొలకలను ఉపయోగించండి మరియు చిన్న మొక్కలకు ఆధారాన్ని ఇవ్వండి. పండ్ల దశలో గాలి మరియు అధిక వర్షపాతం నుండి రక్షించండి.,ಪಪ್ಪಾಯಿಯು ಚೆನ್ನಾಗಿ ಬಸಿದು ಹೋಗುವ ಮಣ್ಣು ಮತ್ತು ನಿಯಮಿತ ನೀರುಣಿಸುವಿಕೆಯನ್ನು ಬಯಸುತ್ತದೆ; ರೋಗ-ಮುಕ್ತ ಸಸಿಗಳನ್ನು ಬಳಸಿ ಮತ್ತು ಸಣ್ಣ ಸಸ್ಯಗಳಿಗೆ ಬೆಂಬಲ ನೀಡಿ. ಕಾಯಿ ಕಟ್ಟುವ ಸಮಯದಲ್ಲಿ ಗಾಳಿ ಮತ್ತು ಅಧಿಕ ಮಳೆಯಿಂದ ರಕ್ಷಿಸಿ.
"pomegranate care,pomegranate irrigation,pomegranate pests",Pomegranate thrives in semi-arid regions; moderate irrigation during fruit development and light pruning improve yields. Watch for fruit rot in humid conditions.,மாதுளை எதிரொலி பகுதிகளில் சிறந்தது; பழ வளர்ச்சியின் போது ஒழுங்கான பாசனம் மற்றும் இலையச்சியைச் செய்யுங்கள்.,अनार अर्ध-शुष्क क्षेत्रों में अच्छा लगता है; फल वृद्धि में मध्यम सिंचाई और हल्की छंटाई करें।,దానిమ్మ సెమీ-అరిడ్ ప్రాంతాలలో బాగా పెరుగుతుంది; పండు అభివృద్ధి సమయంలో మితమైన నీటిపారుదల మరియు తేలికపాటి కత్తిరింపు దిగుబడిని మెరుగుపరుస్తాయి. తేమతో కూడిన పరిస్థితులలో పండు కుళ్ళిపోవడాన్ని గమనించండి.,ದಾಳಿಂಬೆ ಅರೆ-ಶುಷ್ಕ ಪ್ರದೇಶಗಳಲ್ಲಿ ಸಮೃದ್ಧಿಯಾಗುತ್ತದೆ; ಕಾಯಿ ಅಭಿವೃದ್ಧಿಯ ಸಮಯದಲ್ಲಿ ಮಧ್ಯಮ ನೀರಾವರಿ ಮತ್ತು ಲಘು ಕತ್ತರಿಸುವಿಕೆ ಇಳುವರಿಯನ್ನು ಸುಧಾರಿಸುತ್ತದೆ. ಆರ್ದ್ರ ಪರಿಸ್ಥಿತಿಗಳಲ್ಲಿ ಕಾಯಿ ಕೊಳೆತವನ್ನು ಗಮನಿಸಿ.
"coconut care,coconut irrigation,coconut nutrition",Coconut palms need deep watering in sandy soils and regular potassium application. Provide shade for young palms and manage mealybugs and rhinoceros beetle.,தேங்காய்க்கு மணல் மண்ணில் ஆழமான நீர் மற்றும் பொட்டாசியம் தேவை. இளம் மரங்களுக்கு நிழலை வழங்கவும்.,नारियल के पेड़ों को गहरी सिंचाई और पोटैशियम की आवश्यकता होती है। छोटे पौधों को छाया दें।,కొబ్బరి చెట్లకు ఇసుక నేలల్లో లోతైన నీరు మరియు క్రమం తప్పకుండా పొటాషియం వాడకం అవసరం. చిన్న చెట్లకు నీడను అందించండి మరియు పిండి పురుగులు మరియు ఖడ్గమృగం బీటిల్‌ను నిర్వహించండి.,ತೆಂಗಿನಕಾಯಿ ಮರಗಳಿಗೆ ಮರಳು ಮಣ್ಣಿನಲ್ಲಿ ಆಳವಾದ ನೀರುಹಾಕುವುದು ಮತ್ತು ನಿಯಮಿತ ಪೊಟ್ಯಾಸಿಯಮ್ ಅನ್ವಯದ ಅಗತ್ಯವಿದೆ. ಸಣ್ಣ ತಾಳೆ ಮರಗಳಿಗೆ ನೆರಳು ಒದಗಿಸಿ ಮತ್ತು ಹೇನುಗಳು ಮತ್ತು ಘೇಂಡಾಮೃಗ ಜೀರುಂಡೆಯನ್ನು ನಿರ್ವಹಿಸಿ.
"okra care,okra planting,okra pests","Okra grows well in warm, well-drained soils; thin seedlings and harvest frequently to encourage continuous production.","செவ்வகத்தில் வெப்பமான, நன்கு வடிகால் கொண்ட மண்ணில் நல்ல விளைவு தரும்; விதைகளை அகற்றவும் மற்றும் அடிக்கடி அறுவடையிடவும்.",भिंडी गर्म और अच्छी जलनिकासी वाली मिट्टी में अच्छी होती है; पौधों को ठीक से दूरी पर लगाएँ।,"బెండకాయ వెచ్చని, బాగా నీటి పారుదల గల నేలల్లో బాగా పెరుగుతుంది; మొలకలను పల్చబర్చండి మరియు నిరంతర ఉత్పత్తిని ప్రోత్సహించడానికి తరచుగా కోయండి.","ಬೆಂಡೆಕಾಯಿ ಬೆಚ್ಚಗಿನ, ಚೆನ್ನಾಗಿ ಬಸಿದು ಹೋಗುವ ಮಣ್ಣುಗಳಲ್ಲಿ ಚೆನ್ನಾಗಿ ಬೆಳೆಯುತ್ತದೆ; ಸಸಿಗಳನ್ನು ತೆಳುವಾಗಿಸಿ ಮತ್ತು ನಿರಂತರ ಉತ್ಪಾದನೆಯನ್ನು ಉತ್ತೇಜಿಸಲು ಆಗಾಗ್ಗೆ ಕೊಯ್ಲು ಮಾಡಿ."
"spinach care,spinach planting,spinach pests","Spinach prefers cool weather and regular moisture; harvest outer leaves to allow continuous regrowth, and use compost for healthy greens.",பர்கலை குளிர்ச்சியான வானிலை மற்றும் சீரான ஈரப்பதம் விரும்பும்; உட்பக்க இலைகளை அறுவடை செய்யுங்கள்.,पालक को ठंडा मौसम और नियमित नमी पसंद है; बाहरी पत्ते काटकर उगाएँ।,పాలకూరకు చల్లని వాతావరణం మరియు క్రమం తప్పకుండా తేమ అంటే ఇష్టం; నిరంతర ఎదుగుదలకు బయటి ఆకులను కోయండి మరియు ఆరోగ్యకరమైన ఆకుకూరల కోసం కంపోస్ట్ ఉపయోగించండి.,"ಪಾಲಕವು ತಂಪಾದ ಹವಾಮಾನ ಮತ್ತು ನಿಯಮಿತ ತೇವಾಂಶವನ್ನು ಬಯಸುತ್ತದೆ; ನಿರಂತರ ಪುನಃ ಬೆಳವಣಿಗೆಯನ್ನು ಅನುಮತಿಸಲು ಹೊರಗಿನ ಎಲೆಗಳನ್ನು ಕೊಯ್ಲು ಮಾಡಿ, ಮತ್ತು ಆರೋಗ್ಯಕರ ಸೊಪ್ಪುಗಳಿಗಾಗಿ ಮಿಶ್ರಗೊಬ್ಬರವನ್ನು ಬಳಸಿ."
"cabbage care,cabbage planting,cabbage pests",Cabbage grows in cool climates; maintain soil fertility and control cabbage pests such as caterpillars with biological controls.,கேபேஜ் குளிர் பருவங்களில் வளர்க்கவும்; பூச்சிகளை கட்டுப்படுத்த உயிரியல் முறைகள் பயன்படுத்தவும்.,पत्ता गोभी ठंडे मौसम में बढ़ती है; कीड़ों से जैविक नियंत्रण रखें।,క్యాబేజీ చల్లని వాతావరణంలో పెరుగుతుంది; మట్టి సారవంతాన్ని నిర్వహించండి మరియు జీవ నియంత్రణలతో క్యాబేజీ పురుగులైన గొంగళి పురుగులను నియంత్రించండి.,ಎಲೆಕೋಸು ತಂಪಾದ ಹವಾಮಾನದಲ್ಲಿ ಬೆಳೆಯುತ್ತದೆ; ಮಣ್ಣಿನ ಫಲವತ್ತತೆಯನ್ನು ಕಾಪಾಡಿಕೊಳ್ಳಿ ಮತ್ತು ಜೈವಿಕ ನಿಯಂತ್ರಣಗಳೊಂದಿಗೆ ಕಂಬಳಿ ಹುಳುಗಳಂತಹ ಎಲೆಕೋಸು ಕೀಟಗಳನ್ನು ನಿಯಂತ್ರಿಸಿ.
"lettuce care,lettuce planting,lettuce pests",Lettuce prefers cool and shaded conditions; use frequent watering and light fertilization for crisp heads.,லெட்டுஸ் குளிர் மற்றும் நிழலான சூழலில் நன்கு வளரும்; அடிக்கடி நீர் மற்றும் சிறிய உரம் பயன்படுத்தவும்.,लेट्यूस ठंडे और आंशिक छाया वाले स्थानों में अच्छा उगता है; नियमित पानी दें।,లెటుస్ చల్లని మరియు నీడ ఉన్న పరిస్థితులను ఇష్టపడుతుంది; స్ఫుటమైన తలల కోసం తరచుగా నీరు పెట్టడం మరియు తేలికపాటి ఎరువు వాడండి.,ಲೆಟಿಸ್ ತಂಪಾದ ಮತ್ತು ನೆರಳಿನ ಪರಿಸ್ಥಿತಿಗಳನ್ನು ಬಯಸುತ್ತದೆ; ಗರಿಗರಿಯಾದ ತಲೆಗಳಿಗೆ ಆಗಾಗ್ಗೆ ನೀರುಣಿಸುವುದು ಮತ್ತು ಲಘು ಗೊಬ್ಬರವನ್ನು ಬಳಸಿ.
"cucumber care,cucumber planting,cucumber pests",Cucumber likes warm weather and trellising; provide consistent moisture and protect from powdery mildew.,வெள்ளரிக்காய் வெப்பத்தை விரும்பும்; மிதமான ஈரப்பதம் மற்றும் பூஞ்சை நோய்களை கவனிக்கவும்.,खीरा गर्म मौसम और ट्रीलिसिंग पसंद करता है; नियमित नमी रखें।,దోసకాయకు వెచ్చని వాతావరణం మరియు పందిరి అవసరం; స్థిరమైన తేమను అందించండి మరియు బూడిద తెగులు నుండి రక్షించండి.,ಸೌತೆಕಾಯಿ ಬೆಚ್ಚಗಿನ ಹವಾಮಾನ ಮತ್ತು ಟ್ರೆಲಿಸಿಂಗ್ ಅನ್ನು ಇಷ್ಟಪಡುತ್ತದೆ; ಸ್ಥಿರವಾದ ತೇವಾಂಶವನ್ನು ಒದಗಿಸಿ ಮತ್ತು ಪುಡಿ ಶಿಲೀಂಧ್ರದಿಂದ ರಕ್ಷಿಸಿ.
"bottle gourd care,bottle gourd planting,bottle gourd pests",Bottle gourd requires trellis support and regular watering; harvest fruits young for best taste.,சர்க்கரை குலுக்கை போன்ற காய்கறிகள் துரித வளர்ச்சிக்காக துருவைப் பொருத்தும்; இனிமையான தண்டு வாழைப்பழங்களை சிறிய நிலையில் அறுவடை செய்யவும்.,लौकी को सहारे और नियमित पानी की आवश्यकता होती है; फल छोटे अवस्था में काटें।,సొరకాయకు పందిరి మద్దతు మరియు క్రమం తప్పకుండా నీరు పెట్టడం అవసరం; ఉత్తమ రుచి కోసం లేత పండ్లను కోయండి.,ಸೋರೆಕಾಯಿಗೆ ಪಂದಾಳ ಬೆಂಬಲ ಮತ್ತು ನಿಯಮಿತ ನೀರುಣಿಸುವಿಕೆ ಅಗತ್ಯವಿದೆ; ಉತ್ತಮ ರುಚಿಗಾಗಿ ಕಾಯಿಗಳನ್ನು ಚಿಕ್ಕದಾಗಿದ್ದಾಗ ಕೊಯ್ಲು ಮಾಡಿ.
"beetroot care,beetroot planting,beetroot pests",Beetroot prefers deep loose soil and consistent moisture; thin seedlings and harvest when roots reach market size.,"பீட்ரூட் ஆழமான, தளர்ந்த மண்ணையும் சமமாக ஈரப்பதத்தையும் விரும்பும்; விதைகளைக் குறைக்கவும்.",चुकंदर गहरी ढीली मिट्टी और नियमित नमी पसंद करता है; पौधों को समय पर छांटें।,బీట్రూట్ లోతైన వదులుగా ఉండే మట్టి మరియు స్థిరమైన తేమను ఇష్టపడుతుంది; మొలకలను పల్చబర్చండి మరియు దుంపలు మార్కెట్ పరిమాణానికి చేరుకున్నప్పుడు కోయండి.,ಬೀಟ್ರೂಟ್ ಆಳವಾದ ಸಡಿಲವಾದ ಮಣ್ಣು ಮತ್ತು ಸ್ಥಿರವಾದ ತೇವಾಂಶವನ್ನು ಬಯಸುತ್ತದೆ; ಸಸಿಗಳನ್ನು ತೆಳುಗೊಳಿಸಿ ಮತ್ತು ಬೇರುಗಳು ಮಾರುಕಟ್ಟೆ ಗಾತ್ರವನ್ನು ತಲುಪಿದಾಗ ಕೊಯ್ಲು ಮಾಡಿ.
